Germany;France;Spain;services;technician;student;blue-collar;self-employed;management;admin.;unemployed;entrepreneur;housemaid;retired;unknown1;single;married;divorced;secondary;tertiary;unknown;primary;HasCrCard;loan;Gender;CreditScore;IsActiveMember;EstimatedSalary;age;balance;Tenure;y
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1;0;0;-0.3037;0.9801;0.0517;1.7005;0.628;-1.0491;1
0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;-0.4156;0.9801;0.2476;0.1556;-0.173;-1.3908;0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1;1;0;-1.4944;-1.0201;0.2719;-1.0583;-0.1763;1.0012;0
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0;0;0;0.5105;-1.0201;-0.0799;0.4866;0.3888;-1.3908;0
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1;0;0;2.0472;0.9801;-0.3378;-1.0583;-0.1765;-1.0491;0
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1;0;1;-0.0391;-1.0201;0.8987;-0.8376;-0.1477;1.0012;1
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1;1;1;1.7622;0.9801;-1.5455;-1.61;-0.1206;0.6595;0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1;0;0;-2.7767;-1.0201;0.3666;-0.0651;-0.1763;-0.3656;0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0;0;1;-1.5046;0.9801;-0.4103;1.7005;-0.1614;-0.3656;1
0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1;0;1;0.3578;0.9801;-0.4666;0.0452;-0.1024;-1.0491;0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0;0;1;-1.2298;-1.0201;-0.3186;-0.1755;-0.1428;0.3178;0
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1;0;1;-1.5453;-1.0201;-0.385;-1.4997;-0.1278;-0.7074;0
0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1;0;0;-1.759;-1.0201;-1.2621;1.1487;-0.1758;1.6847;1
0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0;0;0;-1.0161;-1.0201;1.6178;1.7005;-0.1677;-0.0239;1
0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1;0;0;-0.1408;0.9801;-0.5676;1.5901;-0.1563;0.6595;1
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0;0;1;-0.3342;0.9801;-0.596;0.928;-0.1479;-0.7074;1
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1;0;1;0.0423;-1.0201;-1.6323;0.2659;-0.175;-1.3908;0
0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1;0;0;-1.0161;0.9801;-1.4695;1.5901;-0.1701;1.343;1
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0;0;1;-0.6293;-1.0201;1.0549;1.9212;-0.1691;0.3178;1
0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1;0;0;0.7853;0.9801;-0.7641;-1.0583;-0.1766;0.3178;1
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1;1;1;0.8463;0.9801;1.2684;-1.61;-0.0861;1.0012;0
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1;0;0;-0.1307;-1.0201;0.7027;1.4798;-0.0791;1.0012;1
0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;0;-1.413;-1.0201;0.359;-1.1686;-0.1737;-0.3656;0
0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0;0;1;0.2052;0.9801;-1.573;-1.9411;-0.1703;-0.7074;1
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1;1;0;2.0065;0.9801;1.5611;-0.2858;-0.1766;-0.0239;0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0;0;1;-0.7311;0.9801;0.4569;0.1556;-0.2231;-0.7074;1
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1;0;1;1.0906;0.9801;1.2536;-0.3962;-0.1447;-1.0491;0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0;1;1;-0.7922;-1.0201;-1.0491;1.0384;-0.1624;1.343;0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1;0;0;-0.7616;0.9801;0.0314;0.3763;-0.2074;-0.7074;0
0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1;1;1;-2.4205;0.9801;-0.7858;-0.7272;-0.1434;-1.7325;0
0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1;1;0;-0.5886;-1.0201;0.7362;1.5901;-0.0716;-0.7074;0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0;0;1;-1.1789;0.9801;1.0207;0.7073;-0.1293;0.6595;1
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0;1;1;-0.9754;-1.0201;-0.2886;1.9212;-0.1717;1.343;0
0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1;0;0;-1.3112;0.9801;-1.1195;1.8108;-0.1766;0.3178;1
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1;0;0;0.7445;0.9801;0.7635;0.928;3.8161;1.343;1
0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1;0;0;-1.7692;-1.0201;-1.2347;1.5901;-0.1687;-1.7325;0
